"Course","Term","FileName","Asset","Url","Bytes","Hash"
"EcoIV","20192","Temario.pdf","EcoIV_20192_Temario.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Temario.pdf","69463","411D08D38C145A1DA66BADF229019EA9"
"EcoIV","20201","Lecture1.pdf","EcoIV_20192_Lecture1.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture1.pdf","413739","9ECE71C320B6D3B43928267314F2B903"
"EcoIV","20201","Lecture10.pdf","EcoIV_20201_Lecture10.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture10.pdf","557126","895F6F62A6B81C4B28901B0C66C86D49"
"EcoIV","20201","Lecture11.pdf","EcoIV_20201_Lecture11.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture11.pdf","807233","2345DA1AE2AAD3E4CA148A226C18377A"
"EcoIV","20201","Lecture11_Notas.pdf","EcoIV_20201_Lecture11_Notas.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture11_Notas.pdf","16796373","7BFC91B529478CCE050932E6BE54A138"
"EcoIV","20201","Lecture12.pdf","EcoIV_20201_Lecture12.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture12.pdf","967734","76D3DED3B6ACCA5001BEDE7A8777CD14"
"EcoIV","20201","Lecture12_Notas.pdf","EcoIV_20201_Lecture12_Notas.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture12_Notas.pdf","15389446","8053C84AB72495684A8BA52DACBB816D"
"EcoIV","20201","Lecture13.pdf","EcoIV_20201_Lecture13.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture13.pdf","602681","88A123AF343DB76EB27207A2332D3FD0"
"EcoIV","20201","Lecture13_Notas.pdf","EcoIV_20201_Lecture13_Notas.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture13_Notas.pdf","9437809","E5CD2C0CA3EE9B9B762376A6BD869CA3"
"EcoIV","20201","Lecture13_Notas2.pdf","EcoIV_20201_Lecture13_Notas2.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture13_Notas2.pdf","11254258","944E024CA44CDC66A52E568238AAA56C"
"EcoIV","20201","Lecture14.pdf","EcoIV_20201_Lecture14.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture14.pdf","575556","AE13A03A33875DB1AB8FB751BEF12590"
