"Course","Term","Section","Label","Href","Status","Url","Asset","Local"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 17","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture17.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture17.pdf","","public_html\pdfs\EcoIV\20192\Lecture17.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 18","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture18.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture18.pdf","","public_html\pdfs\EcoIV\20192\Lecture18.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 19","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture19.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture19.pdf","","public_html\pdfs\EcoIV\20192\Lecture19.pdf"
"EcoIV","2019-2","Monopolio y discriminación de precios","Lecture 20","https://mauricio-romero.com/pdfs/EcoIV/20192/Lecture20.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture20.pdf","","public_html\pdfs\EcoIV\20192\Lecture20.pdf"
"EcoIV","2019-2","Notas de Clase","Notas de clase de Álvaro Riascos y Andrés Carvajal (Equilibrio general)","https://mauricio-romero.com/pdfs/MicroIII201619/notas_micro.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/MicroIII201619_notas_micro.pdf","","public_html\pdfs\MicroIII201619\notas_micro.pdf"
"EcoIV","2019-2","Notas de Clase","Notas de clase de Marcela Eslava (Teoría de Juegos)","https://economia.uniandes.edu.co/files/profesores/marcela_eslava/tj2016II/Notas_Juegos_revisada.pdf","EXTERNAL","https://economia.uniandes.edu.co/files/profesores/marcela_eslava/tj2016II/Notas_Juegos_revisada.pdf","",""
"EcoIV","2019-2","Notas de Clase","Resumen del curso","https://mauricio-romero.com/pdfs/EcoIV/Resumen_ParcialFinal.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_Resumen_ParcialFinal.pdf","","public_html\pdfs\EcoIV\Resumen_ParcialFinal.pdf"
"EcoIV","2019-2","Notas de Clase","Notas de clase de Teoría de Juegos","https://mauricio-romero.com/pdfs/EcoIV/Notas.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_Notas.pdf","","public_html\pdfs\EcoIV\Notas.pdf"
"EcoIV","2019-2","Notas de Clase","Taller de equilibrio general","https://mauricio-romero.com/pdfs/EcoIV/Taller_EqGeneral.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_Taller_EqGeneral.pdf","","public_html\pdfs\EcoIV\Taller_EqGeneral.pdf"
"EcoIV","2019-2","Clases de repaso","Repaso Parcial 1 - a","https://mauricio-romero.com/pdfs/EcoIV/20192/Repaso_1_Parcial1_4pm.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Repaso_1_Parcial1_4pm.pdf","","public_html\pdfs\EcoIV\20192\Repaso_1_Parcial1_4pm.pdf"
